Name,Grade
Shubham Ramanathan,Very Good
GARVIT AGARWAL,Exceptional
RAVINDER PAL SINGH,Exceptional
Shubham Seshadri,Poor
Ram Ranjan Sahu,Fair
Sonu Dubey,Very Good
Samarjeet Goda,Exceptional
DIVYANSHU SALVE,Good
Arvind Sen,Fair
Arvind Misra,Very Good
Shivbihari Aggarwal,Poor
Astha Verma,Very Good
Vinay Deol,Poor
Rohit Chand,Exceptional
Shubham Bahl,Very Good
Sharwan Ram,Good
Sunil Misra,Exceptional
UTKARSH GUPTA,Poor
Sudhir Seshadri,Good
Samarjeet kumar,Very Good
Shivbihari Chahal,Poor
Vishal Gill,Poor
Aneet Dhawan,Very Good
SIDDHARTH JAIN,Very Good
UMESH KUMAR,Fair
Sonu Barman,Exceptional
SHLOK GOYAL,Exceptional
Nitesh Chand,Fair
Vinay Kumar Sharma,Poor
Aneet Seshadri,Good
Sunil Datta,Fair
Mridul Savant,Fair
Sunil Roy,Good
Anand Chada,Fair
JITENDRA SINGH PRAJAPATI,Poor
SOMIL JAIN,Fair
PARLA SURENDRA MANI KUMAR,Fair
ANKIT CHAUDHARY,Fair
Sanjay Dubey,Very Good
Sanjay Seshadri,Poor
C P PRAMOD,Exceptional
SHIVENDRU MATHUR,Very Good
BELAY ZELEKE AYELE,Poor
Shubham Chauhan,Good
Shivbihari Basak,Exceptional
SUBHAM KHINCHI,Exceptional
Nitesh Sridhar,Fair
TUSHAR RANGARI,Very Good
KADULURI PRIDHVI GANGIREDDY,Good
Vishal Bahl,Good
NALLI SRUJAN JOSHI,Poor
Amit Kumar Singh,Poor
Subhasis Dhillon,Exceptional
RITEESH KUMAR,Poor
SIMRAN BAJOLIYA,Fair
NALIN MATHUR,Poor
CHANDRA PRAKASH MEENA,Poor
MANDEEP CHOUHAN,Good
Rohit Bhattacharyya,Exceptional
HIMANSHU KUMAR MEENA,Good
AMAR JEET,Very Good
Amit Batta,Exceptional
SACHIN CHOUDHARY,Poor
PRASHANT KHANDELWAL,Fair
Samarjeet Bhattacharyya,Very Good
Shubham Raju,Poor
Vivek Jain,Poor
DIVESH KUMAR,Good
Nilesh shukla,Poor
Vinay Mehrotra,Poor
Kriti,Fair
Sunil Saini,Exceptional
SIDHARTH JAIN,Very Good
Shivbihari Chakrabarti,Fair
NAMAN GUPTA,Poor
Aneet Dave,Exceptional
TADUVAI VEERA VENKATA NAGA AMARESH,Fair
Vishal Nagar,Very Good
AKSHAY Mittal,Poor
KRANTI KUMAR MAURYA,Exceptional
RITESH SINGH,Exceptional
AKSHAY Brahmbhatt,Exceptional
KUNAL RAJESH SINGH,Very Good
Sunil Gill,Very Good
SONAL SHREYA,Very Good
RASHMI PRASAD,Very Good
Kamlesh Chopra,Fair
Sanjay Chaudhuri,Very Good
ANIL KUMAR,Fair
ASHISH GAUTAM,Good
NAIK TEJAS PRAMOD,Good
Mridul Sahni,Good
Mridul Bhatia,Poor
Anand Solanki,Good
HARSH KUMAR,Poor
Arvind Datta,Very Good
Shivam Chadha,Exceptional
Subhasis Mukhopadhyay,Exceptional
JATIN BANSAL,Poor
BHAVYA VASUDEVA,Poor
Sanjay Arya,Poor
Subhasis Barman,Very Good
PATEL KEVIN MANISHKUMAR,Exceptional
Sunil Rana,Poor
KAMBLE AAUSHI SUDHIR,Poor
Anand Goswami,Fair
Amit Bhatia,Very Good
SHIVANSHU GUPTA,Poor
KHUSHAL DHANADIA,Fair
Ikrar Ahmad,Good
Shivbihari Arora,Good
JYOTIRANJAN DASH,Exceptional
Rohit Bhatt,Exceptional
Shivbihari kumar,Good
Subhasis Gour,Good
ASHISH MAHAWAL,Poor
NAVEEN PRASHAR,Fair
Rohit Singh,Good
TEEKAM SINGH KALYANWAT,Exceptional
SAHIL GOYAL,Good
Arvind Chakraborty,Very Good
SANJAY KUMAR TAK,Very Good
Harikrishna M.,Exceptional
SANJEEV KUMAR,Very Good
Vishal Dhawan,Very Good
Samarjeet Ganguly,Good
Ankit Dhaliwal,Very Good
Shivam Chand,Very Good
AKASH ANGURAL,Fair
SIDDAPPA P G,Poor
YADAV SATISH APARBAL,Poor
Jimmy Karloopia,Very Good
AKSHAY Chopra,Very Good
BHUPENDRA MALAKAR,Good
Satyabarta Majee,Good
PRANJAL SAHU,Good
RAHUL GOYAL,Exceptional
Ovender Singh,Fair
Vinay Badal,Exceptional
Shivbihari Sheth,Exceptional
Mohammad Suhaib Ahmad,Exceptional
Sunil Gour,Exceptional
Rohit Roy,Good
Rahul R.,Exceptional
AVANGAPURAM SAI RUTHVIK REDDY,Fair
Rohit Desai,Fair
Shivram Bajaj,Very Good
Vishal Seshadri,Good
SAKSHAM GUPTA,Poor
UZAIR MALIK,Fair
Nitesh Bakshi,Poor
Subhasis Ghose,Good
Subhasis Ramakrishnan,Poor
ABHIJEET SHAKYA,Exceptional
PANKAJ CHOUHAN,Very Good
Shivbihari Ahuja,Exceptional
Sunil Sandhu,Exceptional
BHANU PRATAP,Good
Medalson Ronghang,Good
DHRUV KHATRI,Exceptional
ISHAN CHAWLA,Exceptional
Shivbihari Sarkar,Good
ABHINAV SINGH,Exceptional
Dogga Raveendhra,Very Good
Subhasis Deol,Good
SOUVIK SENGUPTA,Exceptional
Shubham Ghose,Good
INAPURAPU SURYARAJITHA,Exceptional
JUTTU TEJESWARA RAO,Good
GANDHI SARVESH MOHAN,Good
APAR HARSH CHANDRA,Good
ARSHA K A,Poor
DHEERAJ DHILLON,Very Good
Rohit sharma,Very Good
DURUBESULA RUPESH KUMAR,Very Good
AJAY DAYMA,Very Good
Vishal Rattan,Fair
VATAN KUMAR,Very Good
KARUNAKAR SHANTI PRAKASH,Good
Sanjay Boase,Very Good
DINESH PUNDLIK CHAVAN,Very Good
Aditya Singh Rajput,Fair
MANISH KUMAR GUPTA,Very Good
AKSHAY Chand,Good
KM KAVITA VISHWAKARMA,Fair
RAKESH SINGH,Exceptional
SUMIT SHARMA,Poor
Vinay Misra,Exceptional
Samarjeet Mukherjee,Very Good
Sonu Arya,Exceptional
Nitesh Dixit,Fair
WAIBHAW KUMAR,Very Good
Shivbihari Sodhi,Exceptional
ADITYA JAIN,Fair
Sunil Sethi,Very Good
ASHWINI SHARMA,Poor
ANJANA K. K.,Poor
Shubham Sankar,Very Good
PRATEEK VIKRAM SINGH,Exceptional
PRIYANKA BAJAJ,Fair
SHREYA AGARWAL,Very Good
Arvind Saini,Good
AVINASH KUMAR,Very Good
SURILA GUGLANI,Poor
Himanshu Arora,Exceptional
Sunil Chakraborty,Fair
Sudhir Dhillon,Fair
Vinay Gokhale,Good
Nilesh Ganguly,Good
BUSHRA SHAHWAR,Very Good
Vinay Atwal,Exceptional
HARSHIT RAJ SINGH,Fair
Samarjeet Apte,Poor
HEMANT KUMAR MEENA,Very Good
Vinay Goda,Very Good
Harish Chandra,Good
BIVINA G R,Exceptional
Amit Bansal,Fair
ANKUR PARIHAR,Very Good
MD MAHABUB MUSTAFIZ KHAN,Exceptional
Aneet Raman,Good
VIPUL SONI,Good
VRINCE VIMAL,Very Good
Sudhir Rastogi,Fair
Rohit Chaudhuri,Very Good
Rohit Seth,Good
Ankit Apte,Exceptional
Vishal Atwal,Fair
Subhasis Sampath,Exceptional
KASHISH GARG,Poor
DHRUV KEJRIWAL,Very Good
SANJEEV KUMAR CHAUDHARI,Fair
Aneet Agarwal,Good
ARANYA GUPTA,Exceptional
NEJIB HASSEN ABDULLAHI,Fair
Arvind Aggarwal,Fair
Ankit Banerjee,Good
Neha Rai,Fair
ANIKET MALI,Exceptional
Rohit Balakrishnan,Poor
Sanjay Srivastava,Exceptional
AKSHAY Ahluwalia,Poor
MEGHAN S PATEL,Good
Arvind Gokhale,Poor
ADARSH DUBEY,Exceptional
Ankit Agrawal,Exceptional
DAVID GOKIMMUNG,Good
YASHDEEP SINGH,Poor
SHUBHAM,Good
Ashish Kumar,Exceptional
APURVA MAHENDRA JUNGADE,Very Good
Shivram Pandey,Poor
Sanjay Ramachandran,Fair
Sunil Deshmukh,Good
AMAN KUMAR MEENA,Very Good
Shubham Arora,Fair
Sunil Bahl,Very Good
Joy Prakash Misra,Poor
Samarjeet Sodhi,Very Good
ARNAV NITIN SAMBHARE,Poor
Shubham Rana,Very Good
AKSHAY Apte,Poor
Nilesh Misra,Poor
AKASH RAJ,Very Good
Arvind Gandhi,Poor
Amit Balasubramanian,Exceptional
R DURGA PRASAD REDDY,Good
Parveen,Exceptional
Nilesh Desai,Good
PRITESH JAMRA,Good
SATYABRAT BEHERA,Exceptional
Nitesh Barman,Exceptional
Nilesh Bose,Good
GAURAV DEWAT,Poor
VIKASH KUMAR,Fair
PARTH SHARMA,Poor
Ankit Sandhu,Fair
AADITYA KUMAR MEENA,Poor
Samarjeet Bedi,Very Good
GOURI SHANKAR PANDEY,Very Good
YASHISH KHURANA,Exceptional
MOHIT JAIN,Exceptional
Sanjay Desai,Very Good
Mridul Grewal,Good
Samarjeet Shroff,Exceptional
Mridul Boase,Poor
Rohit Gopal,Fair
Ankit Chada,Poor
PRAMOD PAL,Very Good
Arvind Pandey,Exceptional
ADITYA SINGH THAKUR,Fair
Sanjay Ahluwalia,Poor
Amit Bakshi,Very Good
DHAARNA,Poor
Aneet Chandra,Good
SHARMA NAVEENKUMAR R.,Poor
RAJNEESH BIJARNIYA,Good
KIRAN SAHU,Exceptional
Nilesh Bhattacharyya,Good
Umesh Chandra,Exceptional
ROSHAN UDARAM PATIL,Poor
Shivbihari Seth,Very Good
Sonu Grewal,Good
Archana Pandey,Exceptional
SONAKSHI,Very Good
Arvind Dixit,Exceptional
Km Arti,Poor
VIKRAM SINGH,Exceptional
SURESH MAGANTI,Exceptional
GAURAV PAL,Exceptional
SAMBA RAJU CHILUVERU,Very Good
KAAVIYA R,Poor
PARTEEK CHHIKARA,Poor
SOMARAPU VAMSHI,Very Good
PANIGRAHY VARUN RAJ,Exceptional
Ankit Gandhi,Very Good
Amit Gill,Very Good
KSHITIJ GUPTA,Fair
Nitesh Reddy,Very Good
ASHUTOSH KUMAR JHA,Very Good
ASHISH RANJAN,Very Good
Rohit Ranganathan,Poor
ARSHAN AHMED NAGORI,Fair
Shubham Seth,Exceptional
Samarjeet Balasubramanian,Exceptional
M TAAY HANNAN,Very Good
Nitesh Atwal,Poor
Arvind Mathur,Good
DYUTISREE HALDER,Fair
KURAPATI PRANEETH,Exceptional
THOMAS JOSEPH,Exceptional
Vishal Chawla,Poor
MOHD ARBAB,Fair
SHREY AGRAWAL,Good
Aneet Sheth,Fair
MUDASSIR IMAM,Poor
Priyanka Meena,Very Good
JADHAV AAKASH VILAS VAISHALI,Fair
SHRUTI GUPTA,Good
Sudhir Singhal,Fair
Arvind Bhandari,Fair
AVIRAL VERMA,Very Good
SHARJIL SALAM KHAN,Exceptional
YASH MATHANKER,Good
Sunil Sood,Fair
Vinay Sandhu,Fair
Prateek Verma,Poor
Mridul Batta,Fair
Sonu sharma,Good
SUNDEEP SHARAN REDDY,Good
Sudhir Sehgal,Good
SEJAL GUPTA,Fair
ANKIT KUMAR GUPTA,Exceptional
Arvind Basu,Fair
Sonu Mathur,Good
Subhasis Mishra,Exceptional
Mithlesh Shroff MOURYA,Poor
MANOHARE MANISH PURUSHOTTAM,Fair
Samarjeet Ahluwalia,Good
Sanjay Sachdev,Fair
SHIVARAM REDDY,Very Good
ANURAG MEENA,Fair
ABHISHEK MEENA,Good
YASH RANAKOTI,Fair
RAVJOT SINGH,Poor
Nitesh Bahri,Very Good
LAVESH GOYAL,Exceptional
VISHWAS MITTAL,Fair
Sanjay Ganguly,Very Good
Samarjeet Ghose,Good
JEETENDRA KUMAR,Fair
Vimlesh MOURYA Kumar,Poor
Anand Chaudhuri,Fair
Nisha L,Fair
Vinay Mehra,Exceptional
Sonu Arora,Very Good
BAL KRISHAN,Poor
NIHARIKA AGRAWAL,Poor
Arvind Dubey,Fair
Radhika Gour,Fair
Sunil Chaudhari,Very Good
Shubham shukla,Exceptional
ANKIT MEENA,Good
ABDUL AZEEZ M,Exceptional
KISHORE K G,Poor
PARUL CHAUDHARY,Fair
Ankit Bansal,Poor
Vinay Boase,Very Good
VIKRAM KUMAR,Good
SURENDRA BISHNOI,Poor
Debasish Pal,Good
PRERAK SAXENA,Good
Aneet Sampath,Fair
Mridul Chaudhary,Exceptional
Samarjeet Sami,Poor
Anand Bajwa,Very Good
DISHANT SINGHAL,Fair
PRATIUSH KUMAR,Exceptional
Aneet Chahal,Poor
M S V S SAI PRUDHVI,Very Good
Adisu Bekele Alemayehu,Exceptional
Vinay Ramachandran,Poor
HARSHITA SINGH,Good
Subhasis Dasgupta,Exceptional
DHRITI GUPTA,Fair
AVI GUPTA,Very Good
NUNAVATH PREM KUMAR,Very Good
MOHIT SINGH PANWAR,Poor
BHUPENDER SINGH BISHT,Very Good
Sunil Raj,Fair
BALWANT SINGH,Good
SUMIT KUMAR,Exceptional
Nitesh Basak,Fair
Subhasis Gill,Good
Mridul Ranganathan,Good
Sunil Mathur,Poor
Shivam Mukherjee,Fair
Shubham Sarkar,Good
Vimlesh Shroff MOURYA,Poor
Amit Dhaliwal,Fair
Subhasis Bhardwaj,Very Good
JAYAPATI KOUNDINYA SRIRAM,Fair
KANALA KARTHIK REDDY,Poor
Mridul Dasgupta,Fair
VIVEK KUMAR ARORA,Fair
Sudhir Gopal,Poor
Ankit Mehrotra,Exceptional
Karan Gumber,Exceptional
NIHAL,Exceptional
SUJATA GHOSH,Very Good
DEVJIT MENGHANI,Fair
Sunita Kumari,Fair
Rohit Mittal,Exceptional
SONALI SWETAPADMA,Good
Rohit Mehta,Poor
VIVEK JANGIR,Fair
Sanyam Bahga,Very Good
ADITYA RAJ,Good
BHIMAVARAPU SASI KIRAN REDDY,Exceptional
Aanchal Sharma,Very Good
DEEPAK MAHAWAR,Fair
ANUPAM KUMAR,Poor
Ankit Solanki,Fair
AKSHAY Agrawal,Good
SOURABH JINDAL,Very Good
Neeraj Kumar,Poor
Samarjeet Bajwa,Fair
Sunil Basak,Very Good
ANKUR MEENA,Fair
Sunil Dasgupta,Exceptional
VISHESH PRAKASH SRIVASTAVA,Poor
Shivram Desai,Fair
Aneet Basak,Good
PUNEESH DEORA,Good
DHRUBOJEET HALDAR,Good
NIKITA SANJAY RAUT,Very Good
Subhasis Chahal,Exceptional
Sonu Bajaj,Exceptional
Ankit Raman,Exceptional
Vinay Bhavsar,Poor
Satyendra Singh Chouhan,Very Good
Sunil Sagar,Poor
SUDHANSHU GUPTA,Fair
Anjali,Exceptional
BHAVYE JAIN,Exceptional
PIYUSH SINGARIYA,Very Good
SWEETY KATIYAR,Fair
NIDHI PAL,Good
Amit Brahmbhatt,Very Good
Nitika Sharma,Good
GANGAVARAPU SURESH BABU,Good
ARUN KUMAR JHAJHARIA,Poor
Ankit Desai,Poor
Amit Ganguly,Poor
BALNE NITEESHA,Very Good
SUBRATO SARKAR,Good
SADEVI KULADEEP KUMAR,Good
MASIH AHMED,Exceptional
VAIBHAV NAYER,Exceptional
DIKSHA KUMARI,Very Good
Shubham Basu,Fair
SAKSHI GUPTA,Exceptional
SAURAV TRIPATHI,Fair
Arvind Sodhi,Fair
ATHARVA KUMAR,Very Good
SANTOSH KUMAR MEENA,Fair
KURIDI UDAY KIRAN,Good
VAIBHAV BANSAL,Very Good
Gaikwad Sharad Vasantrao,Exceptional
Shivram Brahmbhatt,Good
Chhaya Zalakkumar Rasendubhai,Very Good
Nitesh Bajwa,Poor
YANGYADATTA TRIPATHY,Very Good
Sonu Singhal,Poor
BHANU SINGHAL,Poor
Subhasis Garg,Fair
Shivram Das,Poor
Shailesh Kumar Chaura,Poor
Arvind Bhagat,Fair
Ravindra Kumar,Fair
TOSHI SHARMA,Good
Sanjay Sehgal,Very Good
Shivram Dixit,Good
ABHISHEK JAGNANI,Good
INGILALA SREE CHARAN,Exceptional
SUNIL KUMAR SINGH,Exceptional
RAVINDRA MOGRE,Fair
Mridul Shetty,Very Good
Ankit Dave,Very Good
SIMRAN JEET SINGH,Poor
HIRE AISHWARYA LAXMIKANT,Good
Vinay Raj,Poor
Sudhir Shan,Exceptional
SURENDER HANS,Very Good
VIKAS KANNOJIYA,Exceptional
Yashpal Gupta,Poor
Arvind Batta,Fair
Shivam Mehra,Poor
YASHWANT YADAV,Fair
Subhasis Chawla,Exceptional
Nilesh Bedi,Very Good
MANGALI BALASIVAKUMAR,Exceptional
Sunil Rastogi,Poor
Mridul Deshpande,Poor
KESANG PALMO,Very Good
Sudhir Dalal,Fair
SURAJ,Very Good
YASHASVI BUDHWAR,Fair
BHAVNA,Fair
SUNIL CHOUDHARY,Poor
Vishal Dube,Fair
Jatin Mahajan,Exceptional
Sunil Das,Poor
PHIBE KHALKHO,Fair
Vishal Chakrabarti,Good
NIKHIL RAIZADA,Very Good
Sonu Seshadri,Poor
HUSSANPREET SINGH AULAKH,Exceptional
Ankit Sachdeva,Very Good
VEDANSH JAIN,Fair
Subhasis sharma,Poor
Rohit shukla,Very Good
ASIT SRIVASTAVA,Poor
Shubham Misra,Good
ANUJ POPLI,Poor
Shubham Solanki,Exceptional
Aneet Basu,Good
Sudhir sharma,Fair
GAURAV BHARDWAJ,Fair
Sanjay Shetty,Exceptional
Ashish Dhamaniya,Exceptional
ASHISH DOORWAR,Poor
Mashkoor Ali,Very Good
Nitesh Bansal,Exceptional
Vimlesh MOURYA SINGH,Poor
Shivbihari Ahluwalia,Exceptional
PRAGYA DALAL,Fair
RELE MITHILA KIRAN DEEPTEE,Good
Kamlesh Arya,Good
Amit Grewal,Exceptional
Nitesh Bhatt,Very Good
VAIBHAV,Poor
BANSODE SHUBHAM ANIL,Poor
Aurobinda Mohanty,Exceptional
POBBATI SURENDRA,Good
Sunil Ranganathan,Very Good
POORVA KUMARI MEENA,Poor
MIHIR CHAWLA,Very Good
Amit Datta,Good
Shivram Dalal,Fair
RATHOD SNEHITH RAJ,Very Good
Mridul Balakrishnan,Very Good
JAY MODI,Poor
L RAHUL KIRAN,Very Good
SATYANSH KUMAR RAI,Good
Subhasis Sahni,Fair
Prajapati Anjana,Very Good
Dinesh Kumar,Very Good
Sarang Kapoor,Good
Samarjeet Dhawan,Exceptional
RAJ NARNOLI,Poor
Banafsha Ahmed,Poor
KHURSHEED ANWAR KHAN,Exceptional
DHIRENDRA KUMAR GODARA,Fair
Sonu Brahmbhatt,Very Good
PRANSHU KATIYAR,Exceptional
Anand Gour,Poor
Awadh Pratap Singh,Good
HARSHIT DUBEY,Poor
SUBHASH SAINI,Poor
SIDDHARTH SINGH,Very Good
Shivbihari Arya,Good
SUKANYA SAXENA,Poor
ADITYA KUMAR,Very Good
RAJAT RAJ,Very Good
SK SOHEL ISLAM,Good
Arun Kumar,Poor
VEERUBHOTLA SANTOSH MARKANDEYA,Good
Ankit Chand,Very Good
Anand Deol,Fair
NOBHA KUMARI,Poor
KHYATI KIYAWAT,Very Good
Shivani Rana,Fair
Sunil Arya,Fair
Nilesh Dasgupta,Exceptional
ANIRUDH BAGLA,Very Good
VAISHALI KANSAL,Good
Sudhir Bhavsar,Good
Ajay Shiv Sharma,Very Good
Ankit Sodhi,Exceptional
ANKUR SRIVASTAVA,Exceptional
SUNNI KANTA PRASAD KUSHWAHA,Poor
Vishal Badal,Fair
Rahul Goyal,Fair
Shivbihari Bhatia,Fair
SHREY JAIN,Good
Praveendra Singh,Exceptional
Samarjeet Sankar,Exceptional
Sunil Badal,Very Good
Amit Das,Poor
KANAV GUPTA,Fair
SHREYANK BANAKAR,Poor
Vishal Dasgupta,Good
Shivam Bansal,Fair
Nilesh Bhatt,Very Good
Dinesh,Exceptional
AMIT KUMAR SINGH CHAUHAN,Poor
MERENSOW PONGEN,Exceptional
HARSH KUMAR BHARTIYA,Fair
ABHINAV BHATNAGAR,Poor
Ankit Bhavsar,Very Good
SNEHIL VISHWAKARMA,Poor
Sonu Gour,Poor
SAMBANGI SAI CHANDU,Fair
HARSHIL KUMAR PATEL,Very Good
Rohit Mehra,Very Good
Pramod Kumar,Good
Sunil Bhatt,Fair
JAGMOHAN,Fair
ANURAG SINGH,Good
AKSHAY Bhatnagar,Very Good
Sundeep Kumar,Good
Amit Mathur,Good
PUTLURU DESHIK REDDY,Good
Nilav Kumar Karna,Fair
Yogita,Exceptional
AMAN JAIN,Poor
Samarjeet Garg,Very Good
SNEHA GUPTA,Good
Rahul,Very Good
Rohit Ramachandran,Good
AKSHAY shukla,Fair
Samarjeet Chatterjee,Exceptional
Rohit Soni,Very Good
CHIRADEEP SAHA ROY,Poor
OMPRAKASH KULDEEP,Exceptional
Shivam Bahl,Good
RAJAT CHAUHAN,Exceptional
NAIK MAYUR RAVIDAS,Poor
ANKIT,Good
AMAN BANSAL,Poor
Aneet Misra,Good
Abdul Haq,Exceptional
Shubham Chadha,Good
PRASHANT,Good
POOJA KUMARI MEENA,Poor
Gaurav Kaushal,Very Good
AKSHAY Bhalla,Exceptional
SHUBHANK,Fair
LAKSHYA SONI,Exceptional
Nilesh Dhawan,Fair
Sandeep Kumar Singla,Good
DIVYAM AGGARWAL,Good
MAYANK PATEL,Very Good
Gitanjali Mehta,Fair
SAI HIMAL ALLU,Very Good
Vishal Bhagat,Poor
Sonu Sehgal,Good
Vinay Pandey,Very Good
GYAN VAIBHAV,Very Good
ASHUTOSH SINGLA,Exceptional
GODDU VISHAL,Poor
SUDHANG VARSHNEY,Fair
Vishal Mukherjee,Very Good
Rohit Arora,Poor
LOVISH BALANA,Good
DEBASISH MONDAL,Fair
VIVEK VERMA,Very Good
PALABINDALA UDAY KIRAN,Exceptional
RAJ ADITYA,Poor
Nitesh Goda,Fair
Mihir Kumar Sutar,Very Good
Shivam Bhargava,Exceptional
Sudhir Saran,Very Good
Nitesh Gokhale,Poor
Sunil Saxena,Good
Arvind Chandra,Fair
NAY LIN HTUN,Poor
Rohit Sanghvi,Fair
Samarjeet Boase,Fair
Ankit Balakrishnan,Exceptional
Anand Mehta,Good
MAKKHAN SINGH CHAUHAN,Very Good
SONALI PANDA,Exceptional
Vinay Sethi,Very Good
RITUSNATA MISHRA,Poor
Subhasis Sachdev,Very Good
Shubham Mehrotra,Fair
ARCHIT AGARWAL,Fair
Kamlesh Barman,Good
Sonu Chatterjee,Poor
SHIVAM CHOPRA,Poor
Samarjeet Ghosh,Good
VISHAL POURAS,Good
Venkatesan J.,Good
AKHILESH KUMAR,Fair
RAJAT JAIN,Fair
Nitesh Rastogi,Poor
ANANT SHANDILYA,Poor
Ankit Bhatnagar,Poor
HIMANSHU CHAWLA,Good
PRERNA KUMAR,Fair
Amit negi,Poor
Sanjay Basak,Fair
HIMANSHU YADAV,Exceptional
BHUKYA VIDHUN RATHOD,Very Good
ANKUR CHAURASIA,Fair
BINAZ V,Good
Shashank Bhatra,Exceptional
Adrish Kumar Mullick,Very Good
Anirban Chatterjee,Fair
Shivram Agarwal,Poor
DEVESH GUPTA,Fair
Sudhir Arya,Poor
Priyanka,Fair
RITWIJ RAGHUVANSHI,Very Good
DEVESH PRATAP SINGH,Fair
Shubham Bhavsar,Poor
SAURAV SHAH,Exceptional
Abdul Rahim A,Poor
RISHABH DHAKARWAL,Very Good
NAZAF AHZAM,Exceptional
HIMANSHU KUKREJA,Exceptional
Sudhir shukla,Exceptional
SHRUTI,Good
Sudhir Dyal,Very Good
Abiy Dejenee Zeleke,Good
Ankit Sankaran,Fair
Pratul Arvind,Very Good
Vishal Dhaliwal,Very Good
THOTTIPARAMBIL VINU SEBASTIAN THOMAS,Very Good
ADNAN PASHA,Very Good
Abhay Pratap Singh,Poor
Shubham Gopal,Very Good
Narendra Kumar,Fair
Anand Chahal,Fair
MD JUNAID MAHMOOD,Exceptional
Arvind Shah,Very Good
Mridul Singhal,Good
MOHIT BHATT,Very Good
SHAIK MOZAMMIL,Exceptional
Dipika Das,Poor
Sahil Taherja,Exceptional
Karnakanti Naga Chaithanya Kumar,Poor
Mridul Sami,Good
Subhasis Raj,Good
Shubham Reddy,Poor
Sonu Ghosh,Fair
Sunil Bhandari,Poor
AKSHAY Agarwal,Exceptional
KONUGANTI UHITHA,Exceptional
GELETA FEKADU DABA,Poor
Nitesh Chahal,Poor
Deeksha,Very Good
Aneet Chaudhuri,Exceptional
ETTA DHEERAJ KUMAR REDDY,Fair
Shivam Mittal,Good
NAMRATA MEENA,Good
RAJESH KUMAR BHAMU,Good
ANISH KUMAR PK,Good
Ashutosh Choudhary,Fair
Sunil Arora,Exceptional
Subhasis Chakrabarti,Fair
NITISH SHARMA,Very Good
Kamlesh Aggarwal,Good
RAHUL GOMLADU,Fair
DIVYA RAJ,Fair
Harak Sachin Sudhakar,Good
SUMIT TANEJA,Exceptional
MAYANK KUMAR SHRINGI,Poor
Rajat Agarwal,Poor
Samarjeet Bhagat,Good
MUDIT AGARWAL,Poor
Shubham kumar,Exceptional
Rajesh Kumar Pandey,Fair
SHETE UMAKANT N.,Good
ANURAG MALL,Fair
Chandresh Kumar Maurya,Fair
Avinash Ratre,Very Good
MARAM SUMANTH,Exceptional
Shivani Sharma,Very Good
LAKSHANA GOSWAMI,Poor
Mridul Ahuja,Fair
PANKAJ,Very Good
Rajkumar Saini,Fair
Sonu Gill,Fair
PRATYUSH KUMAR SARANGI,Very Good
Shivbihari Chand,Poor
KARTIK SAMBYAL,Poor
AYUSH,Fair
Nitesh Sandhu,Fair
AYUSH MANGAL,Good
Prakhar Shukla,Good
LALIT PAL,Very Good
CHAYANK MEENA,Poor
SANSKAR GAHOI,Good
Rituraj Singh,Fair
Rohit Batta,Exceptional
RAHUL GUPTA,Fair
SHRISTI MEENA,Fair
Shivbihari Bhalla,Good
SWATI JOSHI,Very Good
GOBINDA JAIN,Good
Neeraj Gupta,Very Good
SAURABH SINGH,Exceptional
YASH ASATI,Poor
Aneet Gour,Good
SOMVEER SINGH,Fair
Nilesh negi,Fair
Mridul Rana,Exceptional
Mridul Saini,Poor
Rohit Sengupta,Exceptional
YOGESHKUMAR MANIBHAI MAKWANA,Exceptional
ANUSHKA SINGH,Exceptional
Samarjeet Deol,Poor
Aneet Bhatnagar,Poor
Shivram Bhagat,Good
Lalit Kumar,Fair
Nitesh Ahuja,Good
Nitesh Sodhi,Good
Samarjeet Chada,Exceptional
Subhasis Bahri,Very Good
Sanjay Dhaliwal,Very Good
Kamlesh SINGH MOURYA,Poor
Shivam Handa,Good
Samarjeet Sood,Exceptional
MANEESH KUMAR,Very Good
RAHUL AGRAWAL,Fair
CHALAVADI SAI SRUJAN KUMAR,Good
Nitesh Ramakrishnan,Poor
Soroj S. I.,Very Good
SHUBHAM AGRAWAL,Exceptional
RAJNEESH KUMAR,Good
Vandita,Poor
Shubham Saxena,Good
GUNJAN SURANA,Very Good
Subhasis Chaudhary,Exceptional
SMRITI SINGH,Very Good
KOMAL HANDORE,Very Good
Nilesh Basu,Good
ARVIND SAHU,Poor
MOHIT BISHT,Good
YASH AGRAWAL,Very Good
Ankit Goswami,Very Good
Samarjeet Bhandari,Good
Kamal Raj Sharma,Exceptional
Aneet Solanki,Fair
Aneet Banerjee,Very Good
MOHD TAUHID ALAM,Exceptional
Kamlesh Balasubramanian,Poor
Nilesh Balakrishnan,Poor
AKSHAY Chawla,Very Good
Rohit Banerjee,Exceptional
JITENDRA RAWAT,Poor
Vinay Bedi,Very Good
HUZAIB UL HASSAN,Poor
SHAMMY KUMAR SAH,Poor
Sanjay Sibal,Poor
NITESH KUMAR,Poor
Shubham Dyal,Good
PRIYANSH AGARWAL,Exceptional
JOSHIT KUMAR SINGH,Exceptional
Arvind Ganguly,Good
Vinay Savant,Good
AKANTI GIRI NANDAN,Fair
Nitin Rai,Fair
NAMAN CHOUDHARY,Good
PATEL SHREYAS RAMESHBHAI,Fair
PRASHANT MEENA,Poor
